Carrera_ID,Facultad_ID
ADM,NEG
ABF,NEG
ADE,NEG
AHT,AHT
AAG,NEG
ACD,NEG
ACN,NEG
ADF,NEG
AGE,NEG
ADK,NEG
ANG,NEG
AND,NEG
ADN,NEG
ARH,NEG
ARQ,ARQ
ARE,ART
BIO,CDS
CAF,CDS
CCC,ING
CPO,ECO
COM,COM
CAM,COM
CIE,COM
CFO,COM
CMA,COM
CPE,COM
CPU,COM
CON,NEG
CAD,NEG
CFI,NEG
DER,DER
DIN,DIS
DPI,DIS
DPG,DIS
DGM,DIS
EGE,ECO
ECD,ECO
EDE,ECO
EFI,ECO
ENI,ECO
EPP,ECO
EGA,EDU
ENF,CDS
FBI,CDS
GGC,AHT
GPI,NEG
HAD,AHT
IAM,ING
IBI,ING
ICV,ING
ICI,ING
IGE,ING
IGM,ING
IRC,ING
ISS,ING
ISI,ING
ISO,ING
ITR,ING
IEL,ING
IIN,ING
IME,ING
MAK,NEG
MED,CDS
MVE,CDS
MUS,ART
NIN,NEG
NDI,CDS
ODO,CDS
PSI,PSI
RIN,DER
TFI,CDS
TIP,CHU
TAD,AHT
